verb;usage;transFr;transEn;yellow
регистрировать\slash за-;;enregistrer;register;0
вредить\slash по-;;nuire à;injure;1
мириться\slash по-;;se réconcilier;make it up (with smb.);0
листать;;feuilleter;turn over the pages (of);0
устранять\slash устранить;;écarter;remove;0
манипулировать;;manipuler;manipulate;0
насиловать\slash из-;;contraindre, violer;coerce, force, rape;0
мстить\slash ото-;;se venger;take revenge (on smb. for smth.);1
преувеличивать\slash преувеличить;;exagérer;exaggerate;0
беременеть\slash за-;;devenir enceinte;become pregnant;1
напрягаться\slash напрячься;;s'efforcer;strain / exert oneself;0
прогонять\slash прогнать;;faire partir;chase away;0
выгонять\slash выгнать;;faire sortir;turn out;0
гнаться\slash по-;;poursuivre;chase;0
красть\slash у-;;voler;steal;0
распознавать\slash распознать;;discerner;recognize;0
опознавать\slash опознать;;identifier;identify;0
изобретать\slash изобрести;;inventer;invent;0
противиться\slash вос-;;s'opposer à;oppose (to);0
истекать\slash истечь;;s'écouler, être expiré;shed, be expired;1
активизировать;;dynamiser;make more active;0
прославляться\slash прославиться;;se rendre célèbre;become famous;0
усаживаться\slash усесться;;s'asseoir,se mettre à;take a sit;0
загружать\slash загрузить;;charger, télécharger;load;0
погружать\slash погрузить;;embarquer, tremper;immerse (into);0
нагружать\slash нагрузить;;(sur)charger, accabler;load, burden;0
запоминаться\slash запомниться;;rester en mémoire;stick to memory;0
хвастаться\slash по-;;se vanter;boast (of);0
транслировать;;retransmettre;transmit;0
копить\slash на-;;amasser;save up;0
датировать;;dater (de);date;0
рулить\slash по-;;piloter;steer the wheel;1
реализовывать\slash реализовать;;réaliser;incarnate;0
генерировать;;produire;engineer;0
злоупотреблять\slash злоупотребить;;abuser de;abuse;1
вскрывать\slash вскрыть;;ouvrir;open;0
заезжать\slash заехать;;passer par;stop by;1
съезжать\slash съехать;;descendre, déménager;drive down, move out;1
чесать\slash по-;;peigner, gratter;comb, scratch;0
расчесывать\slash расчесать;;démêler;comb (one's hair);0
ускорять\slash ускорить;;accélérer;hasten;0
завоевывать\slash завоевать;;conquérir;conquer;0
ослаблять\slash ослабить;;affaiblir;weaken;0
расходовать\slash из-;;dépenser;spend;0
упрощать\slash упростить;;simplifier;simplify;0
обновлять\slash обновить;;renouveler;renew;0
возобновлять\slash возобновить;;recommencer;renew;0
тестировать;;tester;test;0
классифицировать;;classifier;classify;0
предотвращать\slash предотвратить;;prévenir;avert;0
изготавливать\slash изготовить;;manufacturer;manufacture;0
